name,Country,Gender,Sport,Discipline,Event,Year
Cornel Penu,ROU,Men,Handball,Handball,handball,1972&1976
Nataliya Burdeyna,UKR,Women,Archery,Archery,team (FITA Olympic round - 70m),2000
Maria Berzsenyi,HUN,Women,Handball,Handball,handball,1976
Paul Steele,CAN,Men,Rowing,Rowing,eight with coxswain (8+),1984
Tony Jeffries,GBR,Men,Boxing,Boxing,75 - 81kg (light-heavyweight),2008
Catherine Poirot,FRA,Women,Aquatics,Swimming,100m breaststroke,1984
Nikola Grbic,YUG,Men,Volleyball,Volleyball,volleyball,1996&2000
Dwight Edwin Stones,USA,Men,Athletics,Athletics,high jump,1972&1976
Federica Pellegrini,ITA,Women,Aquatics,Swimming,200m freestyle,2004&2008
Francisco Cortes,ESP,Men,Hockey,Hockey,hockey,2008
Orhan Delibas,NED,Men,Boxing,Boxing,67 - 71kg (light-middleweight),1992
Rashid Sidek,MAS,Men,Badminton,Badminton,doubles&singles,1992&1996
Joanne Jackson,GBR,Women,Aquatics,Swimming,400m freestyle,2008
Virginie Arnold,FRA,Women,Archery,Archery,team (FITA Olympic round - 70m),2008
Hai Feng Xue,CHN,Men,Archery,Archery,team (FITA Olympic round - 70m),2008
Adam Van koeverden,CAN,Men,Canoe,Canoe,K-1 1000m (kayak single)&K-1 500m (kayak single),2004&2008
Laurent Munier,FRA,Men,Handball,Handball,handball,1992
Thierry Peponnet,FRA,Men,Sailing,Sailing,470 - Two Person Dinghy,1984&1988
Rosario Luchetti,ARG,Women,Hockey,Hockey,hockey,2008
Willem Ruska,NED,Men,Judo,Judo,+ 93kg (heavyweight)&open category,1972
Takao Kawaguchi,JPN,Men,Judo,Judo,- 63kg (lightweight),1972
Dusko Mrduljas,YUG,Men,Rowing,Rowing,pair-oared shell with coxswain (2+),1980
Michele Mitchell,USA,Women,Aquatics,Diving,10m platform,1984&1988
Maria Mutola,MOZ,Women,Athletics,Athletics,800m,1996&2000
Elizabeth Muriel Chase,ZIM,Women,Hockey,Hockey,hockey,1980
William Carvalho Carvalho da silva,BRA,Men,Volleyball,Volleyball,volleyball,1984
Frantisek Kralik,TCH,Men,Handball,Handball,handball,1972
Andreea Madalina Raducan,ROU,Women,Gymnastics,Artistic G.,team competition&vault,2000
Oleksandr Beresh,UKR,Men,Gymnastics,Artistic G.,individual all-round&team competition,2000
Uwe Peschel,GER,Men,Cycling,Cycling Road,team time trial,1992
Kyeong Ha Moon,KOR,Women,Handball,Handball,handball,2004
Richard Kennelly,USA,Men,Rowing,Rowing,four without coxswain (4-),1988
Hasse Thomsen,SWE,Men,Boxing,Boxing,+ 81kg (heavyweight),1972
Youri Moltchan,RUS,Men,Fencing,Fencing,foil team,2004
Gennadi Kriuchkin,URS,Men,Rowing,Rowing,pair-oared shell with coxswain (2+),1980
Simone Cercato,ITA,Men,Aquatics,Swimming,4x200m freestyle relay,2004
James Wilkinson,IRL,Men,Sailing,Sailing,flying dutchman,1980
Mihaela Loghin,ROU,Women,Athletics,Athletics,shot put,1984
Allison Wagner,USA,Women,Aquatics,Swimming,400m individual medley,1996
Yili Wei,CHN,Women,Badminton,Badminton,doubles,2008
Robert Jeffrey Dover,USA,Men,Equestrian,Dressage,team,1992&1996
Stanislaw Szozda,POL,Men,Cycling,Cycling Road,team time trial,1972&1976
Wilma Van rijn,NED,Women,Aquatics,Swimming,4x100m freestyle relay,2000
Chengyi Wang,CHN,Women,Shooting,Shooting,50m rifle 3 positions (3x20 shots),2004
Ulrike Tauber,GDR,Women,Aquatics,Swimming,200m butterfly&400m individual medley,1976
Aleksandr Tkachenko,URS,Men,Rowing,Rowing,eight with coxswain (8+),1980
Kun Feng,CHN,Women,Volleyball,Volleyball,volleyball,2004&2008
Gwladys Patience Epangue,FRA,Women,Taekwondo,Taekwondo,57 - 67 kg,2008
Mladen Mladenov,BUL,Men,Wrestling,Wrestling Gre-R,48 - 52kg (flyweight),1980
Tereza Marinova,BUL,Women,Athletics,Athletics,triple jump,2000
Faith Idehen,NGR,Women,Athletics,Athletics,4x100m relay,1992
Aleksandr Belostennyi,URS,Men,Basketball,Basketball,basketball,1980&1988
Jacques Brinkman,NED,Men,Hockey,Hockey,hockey,1988&1996&2000
Klaus-Dieter Kurrat,GDR,Men,Athletics,Athletics,4x100m relay,1976
Susanne Kiermayer,GER,Women,Shooting,Shooting,double trap (120 targets),1996
Maria Kristin Yulianti,INA,Women,Badminton,Badminton,singles,2008
Pilhee Moon,KOR,Women,Handball,Handball,handball,2008
Amiran Karntanov,GRE,Men,Wrestling,Wrestling Free.,48 - 54kg,2000
Marioara Popescu,ROU,Women,Rowing,Rowing,double sculls (2x)&eight with coxswain (8+),1984&1996
Vladimir Janos,TCH,Men,Rowing,Rowing,four-oared shell with coxswain (4-),1972
Pavel Lednev,URS,Men,Modern Pentathlon,Modern Pentath.,Individual competition&Team competition,1972&1976&1980
Christine Boe Jensen,NOR,Women,Football,Football,football,2000
Kyssti Kalevi Laasonen,FIN,Men,Archery,Archery,individual FITA round,1972
Givi Onashvili,URS,Men,Judo,Judo,+ 93kg (heavyweight),1972
Maria Sidorova,RUS,Women,Handball,Handball,handball,2008
Thomas Horster,FRG,Men,Football,Football,football,1988
Cenaida Uribe,PER,Women,Volleyball,Volleyball,volleyball,1988
Kelly Kryczka,CAN,Women,Aquatics,Synchronized S.,duet,1984
Amy Hetzel,AUS,Women,Aquatics,Water polo,water polo,2008
Fabian Hambuechen,GER,Men,Gymnastics,Artistic G.,horizontal bar,2008
Terrence Trammell,USA,Men,Athletics,Athletics,110m hurdles,2000&2004
Dieter Kottysch,FRG,Men,Boxing,Boxing,67 - 71kg (light-middleweight),1972
Jozsef Csak,HUN,Men,Judo,Judo,60 - 65kg (half-lightweight),1992
Roland Bruckner,GDR,Men,Gymnastics,Artistic G.,team competition&floor exercises&parallel bars&vault,1976&1980
Kimberly Duane Mulkey,USA,Women,Basketball,Basketball,basketball,1984
Glenn Buchanan,AUS,Men,Aquatics,Swimming,100m butterfly&4x100m medley relay,1984
Lazaro Reinoso martinez,CUB,Men,Wrestling,Wrestling Free.,57 - 62kg (featherweight),1992
Loudy Tourky,AUS,Women,Aquatics,Diving,synchronized diving 10m platform&10m platform,2000&2004
Estela Rodriguez villanueva,CUB,Women,Judo,Judo,+ 72kg (heavyweight),1992&1996
Simone Hankin,AUS,Women,Aquatics,Water polo,water polo,2000
Yaping Deng,CHN,Women,Table Tennis,Table Tennis,doubles&singles,1992&1996
Jill Savery,USA,Women,Aquatics,Synchronized S.,team,1996
Nelson Beasley Vails,USA,Men,Cycling,Cycling Track,Sprint indivual,1984
Polona Dornik,YUG,Women,Basketball,Basketball,basketball,1988
Kyo-Moon Oh,KOR,Men,Archery,Archery,individual (FITA Olympic round - 70m)&team (FITA Olympic round - 70m),1996&2000
Robert Esmie,CAN,Men,Athletics,Athletics,4x100m relay,1996
Vassilka Stoeva,BUL,Women,Athletics,Athletics,discus throw,1972
Jelica Komnenovic,YUG,Women,Basketball,Basketball,basketball,1980
Paul Four,FRA,Men,Modern Pentathlon,Modern Pentath.,Team competition,1984
Yuri Khabelov,URS,Men,Wrestling,Wrestling Free.,90 - 100kg (heavyweight),1988
Iker Martinez de lizarduy,ESP,Men,Sailing,Sailing,49er - Skiff,2008
Vladimir Predkin,RUS,Men,Aquatics,Swimming,4x100m freestyle relay,1996
Kamen Goranov,BUL,Men,Wrestling,Wrestling Gre-R,90 - 100kg (heavyweight),1976
Rob Hayles,GBR,Men,Cycling,Cycling Track,Team Pursuit (4000m)&Madison,2000&2004
Nicolas Kiefer,GER,Men,Tennis,Tennis,doubles,2004
Yelena Nikolayeva,EUN,Women,Athletics,Athletics,10000m walk,1992&1996
Anatoli Polishchuk,URS,Men,Volleyball,Volleyball,volleyball,1976
Susanne Leonie Schmid,FRG,Women,Hockey,Hockey,hockey,1984
Darian Townsend,RSA,Men,Aquatics,Swimming,4x100m freestyle relay,2004
Tone Haugen,NOR,Women,Football,Football,football,1996
Erzsebet Viski,HUN,Women,Canoe,Canoe,K-4 500m (kayak four),2000&2004
Martijntje Quik,NED,Women,Rowing,Rowing,eight with coxswain (8+),2000
Milorad Stanulov,YUG,Men,Rowing,Rowing,double sculls (2x),1980&1984
Peter Immesberger,FRG,Men,Weightlifting,Weightlifting,90 - 100kg total (first-heavyweight),1988
Tetiana Tereshchuk-antipova,UKR,Women,Athletics,Athletics,400m hurdles,2004
Sushil Kumar,IND,Men,Wrestling,Wrestling Free.,60 - 66kg,2008
Henryk Rozmiarek,POL,Men,Handball,Handball,handball,1976
Norman Hughes,GBR,Men,Hockey,Hockey,hockey,1984
Mari Holden,USA,Women,Cycling,Cycling Road,individual time trial,2000
Byoung-Kyu Lee,KOR,Men,Baseball,Baseball,baseball,2000
Tara Nott,USA,Women,Weightlifting,Weightlifting,48kg,2000
Mijain Lopez,CUB,Men,Wrestling,Wrestling Gre-R,96 - 120kg,2008
Elena Isinbaeva,RUS,Women,Athletics,Athletics,pole vault,2004&2008
Frederick Bousquet,FRA,Men,Aquatics,Swimming,4x100m freestyle relay,2008
Young-Su An,KOR,Men,Boxing,Boxing,63.5 - 67kg (welterweight),1984
Xin Li,CHN,Women,Basketball,Basketball,basketball,1992
Isaac Ikhouria,NGR,Men,Boxing,Boxing,75 - 81kg (light-heavyweight),1972
Liuyang Jiao,CHN,Women,Aquatics,Swimming,200m butterfly,2008
Artur Garonskis,URS,Men,Rowing,Rowing,four-oared shell with coxswain (4-),1980
Jae-Yup Kim,KOR,Men,Judo,Judo,- 60 kg,1984&1988
Markus Oscarsson,SWE,Men,Canoe,Canoe,K-2 1000m (kayak double),2000&2004
Tatiana Ivinskaia,URS,Women,Basketball,Basketball,basketball,1980
Janusz Olech,POL,Men,Fencing,Fencing,sabre individual,1988
Juan Carlos Cuminetti,ARG,Men,Volleyball,Volleyball,volleyball,1988
Andras Hargitay,HUN,Men,Aquatics,Swimming,400m individual medley,1972
Marta Megyeri,HUN,Women,Handball,Handball,handball,1976
Timothy Mclaren,AUS,Men,Rowing,Rowing,quadruple sculls without coxswain (4x),1984
Holger Fach,FRG,Men,Football,Football,football,1988
Will Simpson,USA,Men,Equestrian,Jumping,team,2008
Kumi Nakada,JPN,Women,Volleyball,Volleyball,volleyball,1984
Riccardo De magistris,ITA,Men,Aquatics,Water polo,water polo,1976
Ling Gao,CHN,Women,Badminton,Badminton,doubles,2000&2004
Lothar Kurbjuweit,GDR,Men,Football,Football,football,1972&1976
Ulla Salzgeber,GER,Women,Equestrian,Dressage,individual&team,2000&2004
Oludamola Osayomi,NGR,Women,Athletics,Athletics,4x100m relay,2008
Eduard Thelen,FRG,Men,Hockey,Hockey,hockey,1972
Valencia Gerardo Tazzer valencia,MEX,Men,Equestrian,Jumping,team,1980
Dan Frost,DEN,Men,Cycling,Cycling Track,Points Race,1988
Jesse Smith,USA,Men,Aquatics,Water polo,water polo,2008
Manuela Stellmach,GDR,Women,Aquatics,Swimming,200m freestyle&4x100m freestyle relay,1988&1992
Nataliya Skakun,UKR,Women,Weightlifting,Weightlifting,63kg,2004
Marianne Steinbrecher,BRA,Women,Volleyball,Volleyball,volleyball,2008
Wlodzimierz Zielinski,POL,Men,Handball,Handball,handball,1976
Marina Nikoulina,EUN,Women,Volleyball,Volleyball,volleyball,1992
Pei-Jun Zhang,CHN,Women,Handball,Handball,handball,1984
Mike Whitmarsh,USA,Men,Volleyball,Beach volley.,beach volleyball,1996
Ryszard Sobczak,POL,Men,Fencing,Fencing,foil team,1992&1996
Aydin Polatci,TUR,Men,Wrestling,Wrestling Free.,96 - 120kg,2004
Norie Hiro,JPN,Women,Volleyball,Volleyball,volleyball,1984
Klara Rajnai,HUN,Women,Canoe,Canoe,K-1 500m (kayak single)&K-2 500m (kayak double),1976
Ion Popa,AUS,Men,Rowing,Rowing,eight with coxswain (8+),1984
John Moffitt,USA,Men,Athletics,Athletics,long jump,2004
Christine Scheiblich,GDR,Women,Rowing,Rowing,single sculls (1x),1976
Evgeniy Lagunov,RUS,Men,Aquatics,Swimming,4x200m freestyle relay,2008
Alison Bartosik,USA,Women,Aquatics,Synchronized S.,duet&team,2004
Lisanne De roever,NED,Women,Hockey,Hockey,hockey,2004&2008
Servet Tazegul,TUR,Men,Taekwondo,Taekwondo,58 - 68 kg,2008
Danuta Kozak,HUN,Women,Canoe,Canoe,K-4 500m (kayak four),2008
Theo Bos,NED,Men,Cycling,Cycling Track,Sprint indivual,2004
Ian Peel,GBR,Men,Shooting,Shooting,trap (125 targets),2000
Ryan Cochrane,CAN,Men,Aquatics,Swimming,1500m freestyle,2008
Ying Wang,CHN,Women,Softball,Softball,softball,1996
Svetlana Chirkova,URS,Women,Fencing,Fencing,foil team,1972
Bridget Sloan,USA,Women,Gymnastics,Artistic G.,team competition,2008
Alexander Timothy Mckee,USA,Men,Aquatics,Swimming,200m individual medley&400m individual medley,1972&1976
Heidemarie Reineck,FRG,Women,Aquatics,Swimming,4x100m freestyle relay&4x100m medley relay,1972
Hideyuki Nagashima,JPN,Men,Wrestling,Wrestling Free.,74 - 82kg (middleweight),1984
Antoine Rigaudeau,FRA,Men,Basketball,Basketball,basketball,2000
Leonid Pavlovski,URS,Men,Hockey,Hockey,hockey,1980
Psr Arvidsson,SWE,Men,Aquatics,Swimming,100m butterfly,1980
Luigi Tarantino,ITA,Men,Fencing,Fencing,sabre team,1996&2004&2008
Steven Burke,GBR,Men,Cycling,Cycling Track,Individual Pursuit,2008
GYnther Neureuther,FRG,Men,Judo,Judo,+ 93kg (heavyweight)&86 - 95kg (half-heavyweight),1976&1984
Annette Salmeen,USA,Women,Aquatics,Swimming,4x200m freestyle relay,1996
Omar Pkhakadze,URS,Men,Cycling,Cycling Track,Sprint indivual,1972
Goran Perkovac,YUG,Men,Handball,Handball,handball,1988&1996
Ignacio Cobos,ESP,Men,Hockey,Hockey,hockey,1996
Kyung-Min Ra,KOR,Women,Badminton,Badminton,doubles,1996&2004
Jennifer Brundage,USA,Women,Softball,Softball,softball,2000
Shericka Williams,JAM,Women,Athletics,Athletics,400m&4x400m relay,2008
Cheryl Gibson,CAN,Women,Aquatics,Swimming,400m individual medley,1976
Tomas Svensson,SWE,Men,Handball,Handball,handball,1992&1996&2000
Jeroen Duyster,NED,Men,Rowing,Rowing,eight with coxswain (8+),1996
Suk-Jae Choi,KOR,Men,Handball,Handball,handball,1988
Kay Bluhm,GDR,Men,Canoe,Canoe,K-4 1000m (kayak four)&K-2 1000m (kayak double)&K-2 500m (kayak double),1988&1992&1996
Zevegying Oidov,MGL,Men,Wrestling,Wrestling Free.,57 - 62kg (featherweight),1976
Helena Johanna Lejeune van der ben,NED,Women,Hockey,Hockey,hockey,1988
Marcus Freire,BRA,Men,Volleyball,Volleyball,volleyball,1984
David Lopez-zubero purcell,ESP,Men,Aquatics,Swimming,100m butterfly,1980
Lihong Wang,CHN,Women,Softball,Softball,softball,1996
Xinpeng Ji,CHN,Men,Badminton,Badminton,singles,2000
Iridia Salazar blanco,MEX,Women,Taekwondo,Taekwondo,49 - 57 kg,2004
Douglas Dale Northway,USA,Men,Aquatics,Swimming,1500m freestyle,1972
Bruno Carabetta,FRA,Men,Judo,Judo,60 - 65kg (half-lightweight),1988
Heiner Dopp,FRG,Men,Hockey,Hockey,hockey,1984&1988
Branko Vukicevic,YUG,Men,Basketball,Basketball,basketball,1984
Haley Cope,USA,Women,Aquatics,Swimming,4x100m medley relay,2004
Jan Johansen,NOR,Men,Canoe,Canoe,K-4 1000m (kayak four),1972
Marta Sobral,BRA,Women,Basketball,Basketball,basketball,1996&2000
Imelda Chiappa,ITA,Women,Cycling,Cycling Road,individual road race,1996
Eleanor Suzanne Daniel,USA,Women,Aquatics,Swimming,200m butterfly,1972
Pornchai Thongburan,THA,Men,Boxing,Boxing,67 - 71kg (light-middleweight),2000
Monika Csaszar,HUN,Women,Gymnastics,Artistic G.,team competition,1972
Jean Teulere,FRA,Men,Equestrian,Eventing,team,2004
Frank Uhlig,GDR,Men,Football,Football,football,1980
Renata Mauer,POL,Women,Shooting,Shooting,10m air rifle (40 shots)&50m rifle 3 positions (3x20 shots),1996&2000
Matt Deakin,USA,Men,Rowing,Rowing,eight with coxswain (8+),2004
Maik Bullmann,GER,Men,Wrestling,Wrestling Gre-R,82 - 90kg (light-heavyweight),1992&1996
Mikael Ljungberg,SWE,Men,Wrestling,Wrestling Gre-R,90 - 100kg (heavyweight)&85 - 97kg,1996&2000
Patrick Vial,FRA,Men,Judo,Judo,63 - 70kg (half-middleweight),1976
Kyoko Iwasaki,JPN,Women,Aquatics,Swimming,200m breaststroke,1992
Aleksandr Dolgushin,URS,Men,Aquatics,Water polo,water polo,1972
Oliver Caruso,GER,Men,Weightlifting,Weightlifting,83 - 91kg total (middle-heavyweight),1996
Hartwig Gauder,GDR,Men,Athletics,Athletics,50km walk,1980&1988
Evelyn Kaufer,GDR,Women,Athletics,Athletics,4x100m relay,1972
Tanyu Kiriakov,BUL,Men,Shooting,Shooting,10m air pistol (60 shots)&50m pistol (60 shots),1988&1996&2000
Henry Tillman,USA,Men,Boxing,Boxing,81 - 91kg (heavyweight),1984
David Moussoulbes,RUS,Men,Wrestling,Wrestling Free.,97 - 130kg,2000
Lawren Etame mayer,CMR,Men,Football,Football,football,2000
Dirk Crois,BEL,Men,Rowing,Rowing,double sculls (2x),1984
Misha Latuhihin,NED,Men,Volleyball,Volleyball,volleyball,1996
Aldis Imants Berzins,USA,Men,Volleyball,Volleyball,volleyball,1984
Daniel Senet,FRA,Men,Weightlifting,Weightlifting,60 - 67.5kg total (lightweight),1976
Maria Fadeeva,URS,Women,Rowing,Rowing,four-oared shell with coxswain (4-),1980
Ivan Sunara,YUG,Men,Basketball,Basketball,basketball,1984
Sladjana Golic,YUG,Women,Basketball,Basketball,basketball,1988
Petre Rosca,ROU,Men,Equestrian,Dressage,team,1980
Maximilian Mueller,GER,Men,Hockey,Hockey,hockey,2008
Olga Novokshchenova,RUS,Women,Aquatics,Synchronized S.,team,2000&2004
Denis Sefik,SCG,Men,Aquatics,Water polo,water polo,2004&2008
Magomed Ibragimov,UZB,Men,Wrestling,Wrestling Free.,84 - 96kg,2004
Hans Peter Steinacher,AUT,Men,Sailing,Sailing,Tornado - Multihull,2000&2004
Elena Georgescu,ROU,Women,Rowing,Rowing,eight with coxswain (8+),1992&1996&2000&2004&2008
Nikole Mitchell,JAM,Women,Athletics,Athletics,4x100m relay,1996
Annemieke Bes,NED,Women,Sailing,Sailing,Yngling - Keelboat,2008
Ilias Iliadis,GRE,Men,Judo,Judo,73 - 81kg (half-middleweight),2004
Jae Sook You,KOR,Women,Hockey,Hockey,hockey,1996
Atsuji Miyahara,JPN,Men,Wrestling,Wrestling Gre-R,48 - 52kg (flyweight),1984&1988
Sherone Simpson,JAM,Women,Athletics,Athletics,4x100m relay&100m,2004&2008
Jan Tops,NED,Men,Equestrian,Jumping,team,1992
Vanina Paula Oneto,ARG,Women,Hockey,Hockey,hockey,2000&2004
James Jett,USA,Men,Athletics,Athletics,4x100m relay,1992
Lisa Fernandez,USA,Women,Softball,Softball,softball,1996&2000&2004
Sebastian Biederlack,GER,Men,Hockey,Hockey,hockey,2004&2008
Elena Rudkovskaya,EUN,Women,Aquatics,Swimming,100m breaststroke&4x100m medley relay,1992
Ion Geanta,ROU,Men,Canoe,Canoe,K-4 1000m (kayak four),1980
Yung-Suk Shin,KOR,Men,Handball,Handball,handball,1988
Hayley Jane Lewis,AUS,Women,Aquatics,Swimming,400m freestyle&800m freestyle,1992
Dumitrita Turner,ROU,Women,Gymnastics,Artistic G.,team competition,1980
Niklas Meinert,GER,Men,Hockey,Hockey,hockey,2008
Szilveszter Csollany,HUN,Men,Gymnastics,Artistic G.,rings,1996&2000
Marc Pajot,FRA,Men,Sailing,Sailing,flying dutchman,1972
Jan Bo Petersen,DEN,Men,Cycling,Cycling Track,Team Pursuit (4000m),1992
Charles John Horter,USA,Men,Sailing,Sailing,dragon,1972
Anvar Ibraguimov,URS,Men,Fencing,Fencing,foil team,1988
Igor Razoronov,UKR,Men,Weightlifting,Weightlifting,105kg,2004
Tobias Hauke,GER,Men,Hockey,Hockey,hockey,2008
Christian Reitz,GER,Men,Shooting,Shooting,25m rapid fire pistol (60 shots),2008
Mohamed Achik,MAR,Men,Boxing,Boxing,51 - 54kg (bantamweight),1992
Marina Sciocchetti,ITA,Women,Equestrian,Eventing,team,1980
Francois Barouh,FRA,Men,Canoe,Canoe,K-4 1000m (kayak four),1984
Alexey Rastvortsev,RUS,Men,Handball,Handball,handball,2004
Rodney Jr. Milburn,USA,Men,Athletics,Athletics,110m hurdles,1972
Ronaldo Silva,BRA,Men,Football,Football,football,1984
Gabriel Esparza,ESP,Men,Taekwondo,Taekwondo,- 58 kg,2000
Jaime Arbos serra,ESP,Men,Hockey,Hockey,hockey,1980
Evangelia Christodoulou,GRE,Women,Gymnastics,Rhythmic G.,group competition,2000
Marc Roguet,FRA,Men,Equestrian,Jumping,team,1976
Gillian Margaret Cowley,ZIM,Women,Hockey,Hockey,hockey,1980
Thoralf Peters,GER,Men,Rowing,Rowing,four-oared shell with coxswain (4-),1992
Norbert Ozimek,POL,Men,Weightlifting,Weightlifting,75 - 82.5kg total (light-heavyweight),1972
Jeffrey Stephen Turner,USA,Men,Basketball,Basketball,basketball,1984
Aleksandr Mantsevich,URS,Men,Rowing,Rowing,eight with coxswain (8+),1980
Martina Boesler,GDR,Women,Rowing,Rowing,eight with coxswain (8+),1980
Hwa-Soo Han,KOR,Women,Handball,Handball,handball,1984
John Joseph Bertrand,USA,Men,Sailing,Sailing,single-handed dinghy (Finn),1984
Michael G. Rascher,CAN,Men,Rowing,Rowing,eight with coxswain (8+),1992
Marine Russo,ARG,Women,Hockey,Hockey,hockey,2004&2008
Ryszard Podlas,POL,Men,Athletics,Athletics,4x400m relay,1976
Franck David,FRA,Men,Sailing,Sailing,board (lechner),1992
Glyniss Leanne Nunn-saunders-cearns,AUS,Women,Athletics,Athletics,heptathlon,1984
Ariel Ortega,ARG,Men,Football,Football,football,1996
Edward Barcik,POL,Men,Cycling,Cycling Road,team time trial,1972
Vladimir Kondra,URS,Men,Volleyball,Volleyball,volleyball,1972&1976&1980
Yuliya Nesterenko,BLR,Women,Athletics,Athletics,100m,2004
Oleksiy Prygorov,UKR,Men,Aquatics,Diving,synchronized diving 3m springboard,2008
Jerzy Gorgon,POL,Men,Football,Football,football,1972&1976
Vladimir Selkov,EUN,Men,Aquatics,Swimming,200m backstroke&4x100m medley relay,1992&1996
Catalina Ponor,ROU,Women,Gymnastics,Artistic G.,balance beam&floor exercises&team competition,2004
